"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1418282_x_at",4.7418973205569,6.62653576560655,2.44720054619697,0.0232854203719977,0.0264495512600396,-4.32050862121651
"1428074_at",0.671668499673459,8.7871357909365,2.44212596061713,0.0235399981141443,0.0267239002980973,-4.33053033009225
"1448470_at",2.32397807514178,6.29429794156672,2.43151901791354,0.0240805004673912,0.0273135702690818,-4.35144055581851
"1435288_at",-0.639546147103231,6.40921839044422,-2.43141053021227,0.0240860878447079,0.0273135702690818,-4.35165416418896
"1433661_at",0.569929893287915,8.54821803980561,2.42897004237678,0.0242120976682203,0.0274412706278446,-4.35645799467381
"1424649_a_at",0.869410959574445,8.03995884535437,2.42140776586532,0.0246064610806171,0.0278728054718495,-4.37132641136969
"1424256_at",0.609227334782059,7.99506697502614,2.41966871448981,0.0246979901850087,0.0279610192918174,-4.37474194787579
"1426623_a_at",-0.685662208229264,7.37610698111828,-2.41465256496077,0.0249637721188372,0.0282463012703749,-4.3845860786591
"1417710_at",0.575400118321632,8.81181157108592,2.41089209634432,0.0251647598080083,0.0284579945261187,-4.39195843223093
"1449242_s_at",1.2822842166866,6.25647680923874,2.40841529012979,0.0252979579464657,0.028592835471502,-4.39681065243639
"1422852_at",0.481502215461203,5.45555952108652,2.38462216956788,0.026611229229386,0.0300605612034101,-4.44327912832714
"1454984_at",0.738084211842247,6.63791266837368,2.38385696437952,0.0266544948278863,0.0300928364980767,-4.4447692417684
"1440165_at",-0.71795319764076,6.59604669598178,-2.38294293032984,0.0267062607330511,0.0301346677582858,-4.4465488181146
"1417663_a_at",-0.804028742840938,7.44777059669159,-2.38109484151725,0.0268112108316108,0.0302364315986448,-4.45014576100582
"1419451_at",0.59565893318249,8.65532019808347,2.38035326905511,0.0268534308009627,0.030267378250067,-4.45158863885357
"1419074_at",0.606044503785773,10.2198324881146,2.37765585356117,0.02700752232921,0.0304243155831804,-4.45683483615232
"1421921_at",2.38929580598818,5.58242319174281,2.37489554169838,0.0271660535091617,0.030586078937198,-4.46219983927933
"1419691_at",1.30911957774398,8.93565943453693,2.3745601052771,0.0271853769628927,0.030591017593409,-4.46285155788821
